timestamp,resource,cpuPercent,memPercent,movingAvg
2025-10-31 13:22:19,resource,0.00,0.00,0.00
2025-10-31 13:22:24,resource,0.00,0.00,0.00
2025-10-31 13:22:29,resource,0.00,0.00,0.00
2025-10-31 13:22:34,resource,0.00,0.00,0.00
2025-10-31 13:22:39,resource,0.00,0.00,0.00
2025-10-31 13:22:44,resource,0.00,0.00,0.00
2025-10-31 13:22:49,resource,0.00,0.00,0.00
2025-10-31 13:22:54,resource,0.00,0.00,0.00
2025-10-31 13:22:59,resource,0.00,0.00,0.00
2025-10-31 13:23:04,resource,0.00,0.00,0.00
2025-10-31 13:23:09,resource,0.00,0.00,0.00
2025-10-31 13:23:14,resource,0.00,0.00,0.00
2025-10-31 13:23:19,resource,0.00,0.00,0.00
2025-10-31 13:23:24,resource,0.00,0.00,0.00
2025-10-31 13:23:29,resource,0.00,0.00,0.00
2025-10-31 13:23:34,resource,0.00,0.00,0.00
2025-10-31 13:23:39,resource,0.00,0.00,0.00
2025-10-31 13:23:44,resource,0.00,0.00,0.00
2025-10-31 13:23:49,resource,0.00,0.00,0.00
2025-10-31 13:23:54,resource,0.00,0.00,0.00
2025-10-31 13:23:59,resource,0.00,0.00,0.00
2025-10-31 13:24:04,resource,0.00,0.00,0.00
2025-10-31 13:24:09,resource,0.00,0.00,0.00
2025-10-31 13:24:14,resource,0.00,0.00,0.00
2025-10-31 13:24:19,resource,0.00,0.00,0.00
2025-10-31 13:24:24,resource,0.00,0.00,0.00
2025-10-31 13:24:29,resource,0.00,0.00,0.00
2025-11-02 20:21:59,resource,0.00,0.00,0.00
2025-11-02 20:22:04,resource,0.00,0.00,0.00
2025-11-02 20:22:09,resource,0.00,0.00,0.00
2025-11-02 20:22:14,resource,0.00,0.00,0.00
2025-11-02 20:22:19,resource,0.00,0.00,0.00
2025-11-02 20:22:24,resource,0.00,0.00,0.00
2025-11-02 20:22:29,resource,0.00,0.00,0.00
2025-11-02 20:22:34,resource,0.00,0.00,0.00
2025-11-02 20:22:39,resource,0.00,0.00,0.00
2025-11-02 20:22:44,resource,0.00,0.00,0.00
2025-11-02 20:22:49,resource,0.00,0.00,0.00
2025-11-02 20:22:54,resource,0.00,0.00,0.00
2025-11-02 20:22:59,resource,0.00,0.00,0.00
2025-11-02 20:23:04,resource,0.00,0.00,0.00
2025-11-02 20:23:09,resource,0.00,0.00,0.00
2025-11-02 20:23:14,resource,0.00,0.00,0.00
2025-11-02 20:23:19,resource,0.00,0.00,0.00
2025-11-02 20:23:24,resource,0.00,0.00,0.00
2025-11-02 20:23:29,resource,0.00,0.00,0.00
2025-11-02 20:23:34,resource,0.00,0.00,0.00
2025-11-02 20:23:39,resource,0.00,0.00,0.00
2025-11-02 20:23:44,resource,0.00,0.00,0.00
2025-11-02 20:23:49,resource,0.00,0.00,0.00
2025-11-02 20:23:54,resource,0.00,0.00,0.00
2025-11-02 20:23:59,resource,0.00,0.00,0.00
2025-11-02 20:24:04,resource,0.00,0.00,0.00
2025-11-02 20:24:09,resource,0.00,0.00,0.00
2025-11-02 20:24:14,resource,0.00,0.00,0.00
2025-11-02 20:24:19,resource,0.00,0.00,0.00
2025-11-02 20:24:24,resource,0.00,0.00,0.00
2025-11-02 20:24:29,resource,0.00,0.00,0.00
2025-11-02 20:24:34,resource,0.00,0.00,0.00
2025-11-02 20:24:39,resource,0.00,0.00,0.00
2025-11-02 20:24:44,resource,0.00,0.00,0.00
2025-11-02 20:24:49,resource,0.00,0.00,0.00
2025-11-02 20:24:54,resource,0.00,0.00,0.00
2025-11-02 20:24:59,resource,0.00,0.00,0.00
2025-11-02 20:25:04,resource,0.00,0.00,0.00
2025-11-02 20:25:09,resource,0.00,0.00,0.00
2025-11-02 20:25:14,resource,0.00,0.00,0.00
2025-11-02 20:25:19,resource,0.00,0.00,0.00
