timestamp,resource,cpuPercent,memPercent,movingAvg
2025-11-11 23:48:12,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:48:17,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:48:22,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:48:27,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:48:32,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:48:37,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:48:42,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:48:47,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:48:52,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:48:57,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:49:02,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:49:07,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:49:12,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:49:17,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:49:22,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:49:27,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:49:32,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:49:37,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:49:42,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:49:47,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:49:52,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:49:57,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:50:02,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:50:07,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:50:12,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:50:17,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:50:22,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:50:28,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:50:33,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:50:38,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:50:43,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:50:48,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:50:53,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:50:58,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:51:03,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:51:08,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:51:13,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:51:18,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:51:23,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:51:28,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:51:33,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:51:38,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:51:43,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:51:48,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:51:53,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:51:58,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:52:03,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:52:08,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:52:13,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:52:18,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:52:23,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:52:28,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:52:33,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:52:38,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:52:43,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:52:48,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:52:53,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:52:58,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:53:03,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:53:08,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:53:13,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:53:18,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:53:23,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:53:28,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:53:33,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:53:38,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:53:43,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:53:48,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:53:53,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:53:58,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:54:03,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:54:08,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:54:13,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:54:18,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:54:23,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:54:28,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:54:33,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:54:38,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:54:43,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:54:48,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:54:53,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:54:58,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:55:03,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:55:08,ResourceAgent,0.00,0.00,0.00
